 0.71968634  0.79563048  0.12625731  0.75619568  0.75177762  0.11044391
  0.30477337  0.64751302  0.08620601  0.82780294  0.30099396  0.70906197,0.147205984216 0.32624832  0.60921267  0.90485993  0.8948182   0.40748145  0.78406062
  0.88841715  0.48058385  0.50696595  0.2381546   0.07087293  0.3841264 ,-0.364507215442 0.09959993  0.5550497   0.39822952  0.69943263  0.00261956  0.81185206
  0.59792048  0.72447892  0.05117568  0.55958133  0.58562187  0.02127503,-0.793031772748 0.82747716  0.25750433  0.9277816   0.99915342  0.41283174  0.44498365
  0.91481     0.99852303  0.79537693  0.51322137  0.82770571  0.6112104 ,0.232300617857 0.80643904  0.46938211  0.35260313  0.20495088  0.80413868  0.17259236
  0.9436143   0.59543295  0.06044109  0.36501259  0.07103422  0.97607162,0.454217866261 0.8835599   0.38747789  0.65020972  0.43354192  0.01530167  0.8038301
  0.29442136  0.21361001  0.84136415  0.84385293  0.19998629  0.57825865,-0.959764124646 0.04434896  0.01804359  0.6461792   0.27638041  0.05306562  0.21713026
  0.87286057  0.26255369  0.45334022  0.65055526  0.80057328  0.8914257 ,-0.59299296885 0.74796942  0.72007352  0.48037668  0.38091532  0.06343895  0.54442144
  0.3325413   0.83357552  0.08226698  0.43100958  0.63830298  0.04630503,-0.244747333025 0.3162263   0.08714817  0.84194307  0.89780725  0.33277182  0.48681645
  0.45558031  0.04027747  0.62210131  0.13333349  0.09786675  0.63958001,0.137834211598 0.13606584  0.8399825   0.59877509  0.41111759  0.97708423  0.29930631
  0.11852286  0.10586716  0.08696054  0.42477442  0.0268433   0.95096766,-0.693618241842 0.8802561   0.78386504  0.75124114  0.40085286  0.79561989  0.62528585
  0.77747521  0.87138718  0.73610622  0.86576403  0.51457854  0.71463847,-0.353798420906 0.54482676  0.7454457   0.87755283  0.94872935  0.91222063  0.88196085
  0.51839743  0.75901488  0.87828141  0.37360335  0.20766927  0.16927428,0.891311189843 0.66516949  0.47852611  0.09693771  0.04287221  0.57677643  0.26713685
  0.12595068  0.62271404  0.38178083  0.08747728  0.90158102  0.57636924,-0.541502129913 0.23354548  0.61858655  0.77597451  0.97124218  0.2258231   0.90029932
  0.67856664  0.25099337  0.81105999  0.0266844   0.52626514  0.757093  ,0.588961203497 0.60852165  0.79275012  0.65973041  0.05622653  0.11940648  0.9247032
  0.26742473  0.56191206  0.51170363  0.56845078  0.31255364  0.36775041,-0.434390493749 0.25850563  0.63073393  0.9967863   0.56396444  0.73966608  0.61220352
  0.42275555  0.15090138  0.9295906   0.77109109  0.13054212  0.33316361,0.0404254935289 0.98397907  0.24178028  0.55235251  0.26445823  0.82539193  0.30752817
  0.73806885  0.40905826  0.21906112  0.79802881  0.05903359  0.8643451 ,-0.91877431105 0.09109973  0.67252172  0.72326874  0.35952758  0.6840285   0.61645395
  0.84188438  0.38738546  0.05969518  0.25262985  0.79470005  0.74955769,0.386954701737 0.097841    0.33582575  0.06634037  0.48851832  0.39003302  0.73856478
  0.75053085  0.91645252  0.68165792  0.67620304  0.7305447   0.50527054,0.34516993846 0.75977735  0.85621517  0.31541077  0.20173722  0.37947822  0.55654101
  0.90539153  0.72688965  0.44569355  0.79910819  0.12002172  0.29693509,0.678718665657 0.72069118  0.79012308  0.65497715  0.06846094  0.34094733  0.07966077
  0.45859542  0.66662207  0.01439331  0.43242431  0.64921306  0.79299751,0.406874558583 0.28997568  0.79921705  0.04562831  0.27841595  0.32521106  0.08569653
  0.83024235  0.12738241  0.07884024  0.27003004  0.28534756  0.51609494,0.780757588957 0.92986114  0.36402624  0.90167831  0.76120432  0.56080882  0.58977605
  0.00359342  0.69092256  0.35010131  0.5396341   0.11935539  0.82868783,-0.930133513072 0.7177423   0.6604781   0.78088466  0.096944    0.08371754  0.6191602
  0.51502765  0.04714345  0.81000682  0.52904492  0.01677931  0.82560999,-0.300717459191 0.12099091  0.8452702   0.91147265  0.16817537  0.20733509  0.20053384
  0.69593523  0.74319429  0.68502336  0.7640996   0.17028994  0.56583412,0.490694556882 0.09145965  0.44372213  0.6048401   0.90226159  0.46748155  0.22670819
  0.08006028  0.62436218  0.87297746  0.55871974  0.86038307  0.51714452,0.50710837001 0.23935595  0.15238747  0.92723371  0.55522465  0.84566487  0.98441415
  0.87088914  0.4211223   0.82562449  0.16907391  0.0102803   0.90184738,-0.291137404598 0.12988346  0.87841869  0.84269417  0.3749352   0.69634019  0.32466286
  0.12494052  0.54030252  0.58046454  0.53261486  0.79105906  0.45712909,0.265159759147 0.60200276  0.5170188   0.371537    0.44978684  0.13183347  0.57435135
  0.98355689  0.23725094  0.73417555  0.29306115  0.35764775  0.48488015,-0.763055742008 0.56722731  0.57293877  0.39122337  0.54963119  0.63741425  0.81394757
  0.55564357  0.8494317   0.99308559  0.71888169  0.56886858  0.93368988,0.155519778963 0.1051726   0.55884745  0.30552022  0.17055543  0.90282216  0.23611578
  0.37177274  0.66784938  0.67662892  0.50412802  0.38726287  0.28922491,-0.147463893791 0.926402    0.72695292  0.82656736  0.25752287  0.05401102  0.80233566
  0.23539577  0.85614026  0.78905369  0.02256164  0.29926072  0.3592352 ,-0.589978137352 0.6493823   0.56971403  0.0552483   0.45380773  0.19433624  0.60425757
  0.93144852  0.04129794  0.55648461  0.78559675  0.86726338  0.35476599,0.41724287086 0.25625425  0.02521165  0.65551907  0.43580891  0.36386925  0.57926626
  0.17929485  0.19094181  0.85684906  0.30805692  0.4866771   0.3918482 ,-0.797786108939 0.60180368  0.04805644  0.85866643  0.04228965  0.91105556  0.09359033
  0.49157959  0.37090963  0.53368641  0.79342292  0.04702686  0.62715129,0.419272548237 0.04232258  0.30538793  0.95661476  0.11169521  0.83481377  0.92500221
  0.55130332  0.19502639  0.37972085  0.34845425  0.08819605  0.94265053,-1.14416359817 0.43658468  0.13295056  0.89798751  0.63171405  0.5450606   0.58798046
  0.85306313  0.16818419  0.36934733  0.26444842  0.8108647   0.13991039,-0.786161656698 0.87771671  0.92260064  0.40591717  0.97543173  0.0171299   0.75406688
  0.2321177   0.3939692   0.30082286  0.98954068  0.99271058  0.79171642,-0.158187588488 0.5184906   0.19059944  0.81340425  0.79430144  0.3733185   0.36152872
  0.63907339  0.705792    0.28767617  0.49256397  0.14502873  0.07152867,-0.533978930213 0.42835142  0.60416661  0.98656501  0.20059265  0.09888275  0.19507821
  0.28373622  0.3276358   0.04854377  0.70177     0.70313308  0.05642714,0.165742731517 0.52132971  0.26927534  0.95660441  0.02492961  0.11521224  0.20301144
  0.7827308   0.82995556  0.95745602  0.39717707  0.22686392  0.02376054,-0.304259010453 0.37675034  0.70922118  0.45943502  0.17317045  0.86501713  0.29909392
  0.43746554  0.88780604  0.39496857  0.66081664  0.24833708  0.87710691,-0.25696584091 0.16315582  0.48486357  0.39214583  0.04762434  0.07959722  0.15805661
  0.08883523  0.71495917  0.0670926   0.91492268  0.23561843  0.57219664,0.0827619744036 0.0703017   0.75705844  0.49400476  0.20758713  0.83949862  0.59438825
  0.56763862  0.9311828   0.95965232  0.4530269   0.19711745  0.54437874,-0.386620289148 0.59525445  0.30174289  0.71576004  0.04821355  0.17431474  0.41974801
  0.58520858  0.82918485  0.68867219  0.52088261  0.51932821  0.33866252,0.193340623166 0.96605024  0.56356292  0.41360248  0.60309816  0.2476619   0.59219518
  0.16076936  0.03919159  0.23146449  0.13562619  0.54384037  0.3479282 ,0.0795631368781 0.3462355   0.09065711  0.71832318  0.27825114  0.91300694  0.16484541
  0.83124592  0.18652362  0.96343269  0.83408741  0.41930378  0.18371695,-0.115905630139 0.98520852  0.78722688  0.36089281  0.49943833  0.68571518  0.78001769
  0.96292966  0.34291881  0.23917223  0.49339356  0.27256404  0.82806558,-0.694688473277 0.72649501  0.9454464   0.07298342  0.10975676  0.69105199  0.03018689
  0.84960488  0.36518545  0.47629386  0.18740052  0.82252194  0.13423745,0.23360402761  4.97576588e-01   5.17376433e-01   8.34818729e-01   3.36511514e-01
   1.20121877e-01   4.60530673e-01   2.16594731e-01   7.72324220e-01
   3.15689359e-04   1.09174701e-01   3.00939521e-01   2.16547445e-01,-0.352361455664 0.96389551  0.39369283  0.76591983  0.58772421  0.18399254  0.29591413
  0.69086333  0.53705309  0.38768274  0.16264128  0.31026682  0.02647527,0.359072014537 0.96798612  0.73034548  0.38516501  0.11439002  0.5156783   0.96091009
